stage,model,mode,id,truth,prediction,path
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_LP_001,LP,ND,DB - Copy/validation/Difetto4/RRT-28R_Img2_A80_S2_[7][19].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_LP_002,LP,ND,DB - Copy/training/Difetto4/RRT-42R_Img2_A80_S1_[5][25].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_LP_004,LP,ND,DB - Copy/training/Difetto4/RRT-28R_Img2_A80_S8_[4][19].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_LP_005,LP,ND,DB - Copy/validation/Difetto4/RRT-28R_Img2_A80_S8_[2][1].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_LP_006,LP,ND,DB - Copy/testing/Difetto4/RRT-28R_Img3_A80_S8_[3][6].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_LP_007,LP,ND,DB - Copy/training/Difetto4/RRT-42R_Img4_A80_S2_[3][11].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_LP_008,LP,ND,DB - Copy/training/Difetto4/RRT-28R_Img2_A80_S3_[5][16].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_LP_009,LP,ND,DB - Copy/training/Difetto4/RRT-28R_Img4_A80_S8_[5][41].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_LP_011,LP,ND,DB - Copy/validation/Difetto4/RRT-28R_Img3_A80_S3_[6][23].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_LP_012,LP,ND,DB - Copy/validation/Difetto4/RRT-28R_Img2_A80_S3_[6][16].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_LP_013,LP,ND,DB - Copy/training/Difetto4/RRT-28R_Img4_A80_S2_[3][18].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_LP_014,LP,ND,DB - Copy/validation/Difetto4/RRT-28R_Img3_A80_S8_[5][40].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_LP_015,LP,ND,DB - Copy/validation/Difetto4/RRT-28R_Img2_A80_S2_[5][16].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_LP_016,LP,ND,DB - Copy/validation/Difetto4/RRT-28R_Img2_A80_S2_[2][37].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_LP_017,LP,ND,DB - Copy/validation/Difetto4/RRT-28R_Img2_A80_S10_[4][15].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_LP_018,LP,ND,DB - Copy/training/Difetto4/RRT-28R_Img2_A80_S2_[7][24].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_LP_019,LP,ND,DB - Copy/training/Difetto4/RRT-28R_Img2_A80_S1_[2][8].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_LP_020,LP,ND,DB - Copy/training/Difetto4/RRT-28R_Img4_A80_S8_[3][17].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_PO_005,PO,ND,DB - Copy/validation/Difetto2/RRT-42R_Img1_A80_S3_[5][25].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_PO_012,PO,ND,DB - Copy/training/Difetto2/RRT-28R_Img1_A80_S2_[4][42].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_PO_013,PO,ND,DB - Copy/training/Difetto2/RRT-102R_Img1_A80_S6_[6][26].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_PO_014,PO,ND,DB - Copy/training/Difetto2/RRT-28R_Img3_A80_S3_[5][39].png
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,test_PO_020,PO,ND,DB - Copy/training/Difetto2/RRT-42R_Img3_A80_S6_[9][9].png
test,mistralai/mistral-small-3.2-24b-instruct,four-shot,test_CR_001,CR,LP,DB - Copy/training/Difetto1/RRT-30R_Img2_A80_S1_[6][42].png
test,mistralai/mistral-small-3.2-24b-instruct,four-shot,test_CR_003,CR,LP,DB - Copy/training/Difetto1/RRT-30R_Img3_A80_S1_[3][71].png
test,mistralai/mistral-small-3.2-24b-instruct,four-shot,test_CR_004,CR,ND,DB - Copy/training/Difetto1/RRT-23R_Img1_A80_S1_[11][16].png
test,mistralai/mistral-small-3.2-24b-instruct,four-shot,test_CR_005,CR,ND,DB - Copy/training/Difetto1/RRT-23R_Img1_A80_S1_[11][15].png
test,mistralai/mistral-small-3.2-24b-instruct,four-shot,test_CR_006,CR,LP,DB - Copy/training/Difetto1/RRT-102R_Img1_A80_S8_[5][4].png
test,mistralai/mistral-small-3.2-24b-instruct,four-shot,test_CR_007,CR,LP,DB - Copy/training/Difetto1/RRT-23R_Img1_A80_S1_[12][17].png
test,mistralai/mistral-small-3.2-24b-instruct,four-shot,test_CR_008,CR,LP,DB - Copy/training/Difetto1/RRT-30R_Img2_A80_S1_[5][61].png
test,mistralai/mistral-small-3.2-24b-instruct,four-shot,test_CR_010,CR,LP,DB - Copy/training/Difetto1/RRT-23R_Img2_A80_S1_[7][17].png
test,mistralai/mistral-small-3.2-24b-instruct,four-shot,test_CR_011,CR,LP,DB - Copy/training/Difetto1/RRT-102R_Img2_A80_S8_[21][6].png
test,mistralai/mistral-small-3.2-24b-instruct,four-shot,test_CR_013,CR,LP,DB - Copy/training/Difetto1/RRT-30R_Img2_A80_S1_[5][50].png
test,mistralai/mistral-small-3.2-24b-instruct,four-shot,test_CR_014,CR,ND,DB - Copy/validation/Difetto1/RRT-102R_Img1_A80_S5_[15][4].png
test,mistralai/mistral-small-3.2-24b-instruct,four-shot,test_CR_015,CR,LP,DB - Copy/validation/Difetto1/RRT-102R_Img2_A80_S5_[13][6].png
test,mistralai/mistral-small-3.2-24b-instruct,four-shot,test_CR_016,CR,ND,DB - Copy/training/Difetto1/RRT-30R_Img1_A80_S1_[2][44].png
test,mistralai/mistral-small-3.2-24b-instruct,four-shot,test_CR_017,CR,LP,DB - Copy/validation/Difetto1/RRT-102R_Img4_A80_S5_[13][5].png
test,mistralai/mistral-small-3.2-24b-instruct,four-shot,test_CR_020,CR,LP,DB - Copy/validation/Difetto1/RRT-105R_Img4_A80_S1_[5][14].png
test,mistralai/mistral-small-3.2-24b-instruct,four-shot,test_LP_001,LP,ND,DB - Copy/validation/Difetto4/RRT-28R_Img2_A80_S2_[7][19].png
test,mistralai/mistral-small-3.2-24b-instruct,four-shot,test_LP_007,LP,ND,DB - Copy/training/Difetto4/RRT-42R_Img4_A80_S2_[3][11].png
test,mistralai/mistral-small-3.2-24b-instruct,four-shot,test_LP_009,LP,ND,DB - Copy/training/Difetto4/RRT-28R_Img4_A80_S8_[5][41].png
test,mistralai/mistral-small-3.2-24b-instruct,four-shot,test_LP_013,LP,ND,DB - Copy/training/Difetto4/RRT-28R_Img4_A80_S2_[3][18].png
test,mistralai/mistral-small-3.2-24b-instruct,four-shot,test_LP_014,LP,ND,DB - Copy/validation/Difetto4/RRT-28R_Img3_A80_S8_[5][40].png
test,mistralai/mistral-small-3.2-24b-instruct,four-shot,test_LP_015,LP,PO,DB - Copy/validation/Difetto4/RRT-28R_Img2_A80_S2_[5][16].png
test,mistralai/mistral-small-3.2-24b-instruct,four-shot,test_LP_017,LP,PO,DB - Copy/validation/Difetto4/RRT-28R_Img2_A80_S10_[4][15].png
test,mistralai/mistral-small-3.2-24b-instruct,four-shot,test_LP_019,LP,CR,DB - Copy/training/Difetto4/RRT-28R_Img2_A80_S1_[2][8].png
test,mistralai/mistral-small-3.2-24b-instruct,four-shot,test_LP_020,LP,ND,DB - Copy/training/Difetto4/RRT-28R_Img4_A80_S8_[3][17].png
test,openai/gpt-4.1-mini,zero-shot,test_CR_001,CR,LP,DB - Copy/training/Difetto1/RRT-30R_Img2_A80_S1_[6][42].png
test,openai/gpt-4.1-mini,zero-shot,test_CR_002,CR,ND,DB - Copy/training/Difetto1/RRT-97R_Img1_A80_S2_[2][5].png
test,openai/gpt-4.1-mini,zero-shot,test_CR_003,CR,LP,DB - Copy/training/Difetto1/RRT-30R_Img3_A80_S1_[3][71].png
test,openai/gpt-4.1-mini,zero-shot,test_CR_008,CR,LP,DB - Copy/training/Difetto1/RRT-30R_Img2_A80_S1_[5][61].png
test,openai/gpt-4.1-mini,zero-shot,test_CR_012,CR,LP,DB - Copy/training/Difetto1/RRT-102R_Img3_A80_S4_[17][9].png
test,openai/gpt-4.1-mini,zero-shot,test_CR_013,CR,LP,DB - Copy/training/Difetto1/RRT-30R_Img2_A80_S1_[5][50].png
test,openai/gpt-4.1-mini,zero-shot,test_CR_016,CR,LP,DB - Copy/training/Difetto1/RRT-30R_Img1_A80_S1_[2][44].png
test,openai/gpt-4.1-mini,zero-shot,test_CR_020,CR,LP,DB - Copy/validation/Difetto1/RRT-105R_Img4_A80_S1_[5][14].png
validation,mistralai/mistral-small-3.2-24b-instruct,zero-shot,validation_LP_003,LP,ND,DB - Copy/training/Difetto4/RRT-24R_Img3_A80_S7_[5][34].png
test,mistralai/mistral-small-3.2-24b-instruct,four-shot,test_CR_012,CR,LP,DB - Copy/training/Difetto1/RRT-102R_Img3_A80_S4_[17][9].png
test,openai/gpt-4.1-mini,zero-shot,test_LP_001,LP,ND,DB - Copy/validation/Difetto4/RRT-28R_Img2_A80_S2_[7][19].png
test,openai/gpt-4.1-mini,zero-shot,test_LP_002,LP,ND,DB - Copy/training/Difetto4/RRT-42R_Img2_A80_S1_[5][25].png
test,openai/gpt-4.1-mini,zero-shot,test_LP_013,LP,ND,DB - Copy/training/Difetto4/RRT-28R_Img4_A80_S2_[3][18].png
test,openai/gpt-4.1-mini,zero-shot,test_PO_010,PO,ND,DB - Copy/training/Difetto2/RRT-28R_Img4_A80_S6_[4][4].png
test,openai/gpt-4.1-mini,zero-shot,test_PO_019,PO,CR,DB - Copy/training/Difetto2/RRT-42R_Img3_A80_S3_[3][9].png
test,openai/gpt-4.1-mini,zero-shot,test_PO_020,PO,ND,DB - Copy/training/Difetto2/RRT-42R_Img3_A80_S6_[9][9].png
test,openai/gpt-4.1-mini,four-shot,test_CR_001,CR,LP,DB - Copy/training/Difetto1/RRT-30R_Img2_A80_S1_[6][42].png
test,openai/gpt-4.1-mini,four-shot,test_CR_003,CR,LP,DB - Copy/training/Difetto1/RRT-30R_Img3_A80_S1_[3][71].png
test,openai/gpt-4.1-mini,four-shot,test_CR_008,CR,LP,DB - Copy/training/Difetto1/RRT-30R_Img2_A80_S1_[5][61].png
test,openai/gpt-4.1-mini,four-shot,test_CR_013,CR,LP,DB - Copy/training/Difetto1/RRT-30R_Img2_A80_S1_[5][50].png
test,openai/gpt-4.1-mini,four-shot,test_CR_016,CR,LP,DB - Copy/training/Difetto1/RRT-30R_Img1_A80_S1_[2][44].png
test,openai/gpt-4.1-mini,four-shot,test_CR_020,CR,LP,DB - Copy/validation/Difetto1/RRT-105R_Img4_A80_S1_[5][14].png
test,openai/gpt-4.1-mini,four-shot,test_PO_018,PO,CR,DB - Copy/training/Difetto2/RRT-28R_Img3_A80_S7_[1][15].png
test,openai/gpt-4.1-mini,four-shot,test_PO_019,PO,CR,DB - Copy/training/Difetto2/RRT-42R_Img3_A80_S3_[3][9].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_CR_001,CR,ND,DB - Copy/training/Difetto1/RRT-30R_Img2_A80_S1_[6][42].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_CR_002,CR,ND,DB - Copy/training/Difetto1/RRT-97R_Img1_A80_S2_[2][5].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_CR_003,CR,ND,DB - Copy/training/Difetto1/RRT-30R_Img3_A80_S1_[3][71].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_CR_004,CR,ND,DB - Copy/training/Difetto1/RRT-23R_Img1_A80_S1_[11][16].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_CR_005,CR,ND,DB - Copy/training/Difetto1/RRT-23R_Img1_A80_S1_[11][15].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_CR_006,CR,ND,DB - Copy/training/Difetto1/RRT-102R_Img1_A80_S8_[5][4].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_CR_007,CR,ND,DB - Copy/training/Difetto1/RRT-23R_Img1_A80_S1_[12][17].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_CR_008,CR,ND,DB - Copy/training/Difetto1/RRT-30R_Img2_A80_S1_[5][61].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_CR_011,CR,ND,DB - Copy/training/Difetto1/RRT-102R_Img2_A80_S8_[21][6].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_CR_012,CR,ND,DB - Copy/training/Difetto1/RRT-102R_Img3_A80_S4_[17][9].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_CR_013,CR,ND,DB - Copy/training/Difetto1/RRT-30R_Img2_A80_S1_[5][50].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_CR_014,CR,ND,DB - Copy/validation/Difetto1/RRT-102R_Img1_A80_S5_[15][4].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_CR_016,CR,ND,DB - Copy/training/Difetto1/RRT-30R_Img1_A80_S1_[2][44].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_CR_020,CR,LP,DB - Copy/validation/Difetto1/RRT-105R_Img4_A80_S1_[5][14].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_LP_001,LP,ND,DB - Copy/validation/Difetto4/RRT-28R_Img2_A80_S2_[7][19].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_LP_002,LP,ND,DB - Copy/training/Difetto4/RRT-42R_Img2_A80_S1_[5][25].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_LP_004,LP,ND,DB - Copy/training/Difetto4/RRT-28R_Img2_A80_S8_[4][19].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_LP_005,LP,PO,DB - Copy/validation/Difetto4/RRT-28R_Img2_A80_S8_[2][1].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_LP_006,LP,ND,DB - Copy/testing/Difetto4/RRT-28R_Img3_A80_S8_[3][6].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_LP_007,LP,ND,DB - Copy/training/Difetto4/RRT-42R_Img4_A80_S2_[3][11].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_LP_008,LP,ND,DB - Copy/training/Difetto4/RRT-28R_Img2_A80_S3_[5][16].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_LP_009,LP,ND,DB - Copy/training/Difetto4/RRT-28R_Img4_A80_S8_[5][41].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_LP_011,LP,ND,DB - Copy/validation/Difetto4/RRT-28R_Img3_A80_S3_[6][23].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_LP_012,LP,PO,DB - Copy/validation/Difetto4/RRT-28R_Img2_A80_S3_[6][16].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_LP_013,LP,ND,DB - Copy/training/Difetto4/RRT-28R_Img4_A80_S2_[3][18].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_LP_014,LP,ND,DB - Copy/validation/Difetto4/RRT-28R_Img3_A80_S8_[5][40].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_LP_015,LP,ND,DB - Copy/validation/Difetto4/RRT-28R_Img2_A80_S2_[5][16].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_LP_016,LP,ND,DB - Copy/validation/Difetto4/RRT-28R_Img2_A80_S2_[2][37].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_LP_017,LP,PO,DB - Copy/validation/Difetto4/RRT-28R_Img2_A80_S10_[4][15].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_LP_018,LP,ND,DB - Copy/training/Difetto4/RRT-28R_Img2_A80_S2_[7][24].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_LP_019,LP,ND,DB - Copy/training/Difetto4/RRT-28R_Img2_A80_S1_[2][8].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_LP_020,LP,ND,DB - Copy/training/Difetto4/RRT-28R_Img4_A80_S8_[3][17].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_PO_005,PO,ND,DB - Copy/validation/Difetto2/RRT-42R_Img1_A80_S3_[5][25].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_PO_012,PO,ND,DB - Copy/training/Difetto2/RRT-28R_Img1_A80_S2_[4][42].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_PO_013,PO,ND,DB - Copy/training/Difetto2/RRT-102R_Img1_A80_S6_[6][26].png
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,test_PO_019,PO,CR,DB - Copy/training/Difetto2/RRT-42R_Img3_A80_S3_[3][9].png
test,qwen/qwen3-vl-30b-a3b-instruct,four-shot,test_CR_001,CR,LP,DB - Copy/training/Difetto1/RRT-30R_Img2_A80_S1_[6][42].png
test,qwen/qwen3-vl-30b-a3b-instruct,four-shot,test_CR_003,CR,LP,DB - Copy/training/Difetto1/RRT-30R_Img3_A80_S1_[3][71].png
test,qwen/qwen3-vl-30b-a3b-instruct,four-shot,test_CR_006,CR,ND,DB - Copy/training/Difetto1/RRT-102R_Img1_A80_S8_[5][4].png
test,qwen/qwen3-vl-30b-a3b-instruct,four-shot,test_CR_008,CR,LP,DB - Copy/training/Difetto1/RRT-30R_Img2_A80_S1_[5][61].png
test,qwen/qwen3-vl-30b-a3b-instruct,four-shot,test_CR_012,CR,ND,DB - Copy/training/Difetto1/RRT-102R_Img3_A80_S4_[17][9].png
